Year,Removals,Returns,im_rate,im_count
1892,2801,NA,NA,NA
1893,1630,NA,NA,NA
1894,1806,NA,NA,NA
1895,2596,NA,NA,NA
1896,3037,NA,NA,NA
1897,1880,NA,NA,NA
1898,3229,NA,NA,NA
1899,4052,NA,NA,NA
1900,4602,NA,NA,NA
1901,3879,NA,NA,NA
1902,5439,NA,NA,NA
1903,9316,NA,NA,NA
1904,8773,NA,NA,NA
1905,12724,NA,NA,NA
1906,13108,NA,NA,NA
1907,14059,NA,NA,NA
1908,12971,NA,NA,NA
1909,12535,NA,NA,NA
1910,26965,NA,NA,NA
1911,25137,NA,NA,NA
1912,18513,NA,NA,NA
1913,23399,NA,NA,NA
1914,37651,NA,NA,NA
1915,26675,NA,NA,NA
1916,21648,NA,NA,NA
1917,17881,NA,NA,NA
1918,8866,NA,NA,NA
1919,11694,NA,NA,NA
1920,14557,NA,NA,NA
1921,18296,NA,NA,NA
1922,18076,NA,NA,NA
1923,24280,NA,NA,NA
1924,36693,NA,NA,NA
1925,34885,NA,NA,NA
1926,31454,NA,NA,NA
1927,31417,15012,NA,NA
1928,30464,19946,NA,NA
1929,31035,25888,NA,NA
1930,24864,11387,NA,NA
1931,27886,11719,NA,NA
1932,26490,10775,NA,NA
1933,25392,10347,NA,NA
1934,14263,8010,NA,NA
1935,13877,7978,NA,NA
1936,16195,8251,NA,NA
1937,16905,8788,NA,NA
1938,17341,9278,NA,NA
1939,14700,9590,NA,NA
1940,12254,8594,NA,NA
1941,7336,6531,NA,NA
1942,5542,6904,NA,NA
1943,5702,11947,NA,NA
1944,8821,32270,NA,NA
1945,13611,69490,NA,NA
1946,17317,101945,NA,NA
1947,23434,195880,NA,NA
1948,25276,197184,NA,NA
1949,23874,276297,NA,NA
1950,10199,572477,NA,NA
1951,17328,673169,NA,NA
1952,23125,703778,NA,NA
1953,23482,885391,NA,NA
1954,30264,1074277,NA,NA
1955,17695,232769,NA,NA
1956,9006,80891,NA,NA
1957,5989,63379,NA,NA
1958,7875,60600,NA,NA
1959,8468,56610,NA,NA
1960,7240,52796,NA,NA
1961,8181,52383,NA,NA
1962,8025,54164,NA,NA
1963,7763,69392,NA,NA
1964,9167,73042,NA,NA
1965,10572,95263,NA,NA
1966,9680,123683,NA,NA
1967,9728,142343,NA,NA
1968,9590,179952,NA,NA
1969,11030,240958,NA,NA
1970,17469,303348,NA,NA
1971,18294,370074,NA,NA
1972,16883,450927,NA,NA
1973,17346,568005,NA,NA
1974,19413,718740,NA,NA
1975,24432,655814,NA,NA
1976,38471,955374,NA,NA
1977,31263,867015,NA,NA
1978,29277,975515,138,307276
1979,26825,966137,140,314457
1980,18013,719211,146,329821
1981,17379,823875,162,369930
1982,15216,812572,180,413806
1983,19211,931600,188,436855
1984,18696,909833,197,462002
1985,23105,1041296,213,502507
1986,24592,1586320,229,544972
1987,24336,1091203,243,585084
1988,25829,911790,259,627600
1989,34427,830890,291,712364
1990,30039,1022533,313,773919
1991,33189,1061105,330,825559
1992,43671,1105829,349,882500
1993,42542,1243410,379,969301
1994,45674,1029107,409,1054702
1995,50924,1313764,433,1125874
1996,69680,1573428,450,1181919
1997,114432,1440684,468,1240659
1998,174813,1570127,489,1307154
1999,183114,1574863,505,1363686
2000,188467,1675876,499,1394231
2001,189026,1349371,498,1404032
2002,165168,1012116,506,1440144
2003,211098,945294,511,1468601
2004,240665,1166576,517,1497100
2005,246431,1096920,522,1525910
2006,280974,1043381,532,1568674
2007,319382,891390,536,1596835
2008,359795,811263,536,1608282
2009,391597,582624,534,1615487
2010,382265,474233,529,1613803
2011,387134,322124,521,1598968
2012,418397,230386,508,1570397
2013,438421,178371,507,1576950
2014,414481,162814,498,1561525
