Year,PROGRAM Total,CBP Border Patrol,ICE Homeland Security Investigations,ICE Enforcement and Removal Operations ,BORDER PATROL SECTOR Total apprehensions,BP North,BP South,HOMELAND SECURITY INVESTIGATIONS SAC JURISDICTION Total administrative arrests,HS Other,HS South,HS North,Other SAC Jurisdictions abroad,ENFORCEMENT AND REMOVAL OPERATIONS AREA OF RESPONSIBILITY  Total administrative arrests,ER Other,ER South,ER North,Headquarters,Unknown,Total ,Africa,Asia,Europe,North America,Oceania,South America,Unknown,Afghanistan,Albania,Algeria,Angola,Antigua-Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bolivia,Bosnia-Herzegovina,Brazil,British Virgin Islands,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,"Czechoslovakia, former",Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Macau,Macedonia,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mexico,"Micronesia, Federated States",Moldova,Mongolia,Montenegro,Montserrat,Morocco,Nepal,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saint Kitts-Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,"Soviet Union, former",Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,All other countries,Unknown
2004,"1,264,232"," 1,160,395 ","103,837",NA," 1,160,395 "," 9,959 "," 1,150,436 ","103,837"," 17,920 "," 68,684 "," 17,233 ",NA,NA,0,0,0,NA,NA,1264232,2092,7229,2826,1214322,284,14093,23386,57,163,49,10,14,325,55,54,12,7,68,11,138,31,25,9,151,9,4,221,43,10082,NA,82,8,9,NA,102,34,1806,42,3,NA,NA,116,1560,919,3,21,571,27,12,1831,150,42,6,20,3635,1173,218,19180,NA,26,18,79,23,109,NA,64,42,104,135,28,21,0,14288,36,NA,135,367,26555,15,76,NA,895,170,138,135,41,290,81,976,101,258,14,138,503,NA,24,NA,148,25,157,59,7,64,0,35,11,67,38,10,16,20,1142807,55,10,70,NA,NA,244,60,55,6,42,1664,19,279,12,641,8,97,35,714,488,440,86,153,175,6,11,22,8,30,72,69,NA,150,31,18,56,0,50,83,NA,20,41,26,50,10,18,11,106,37,8,44,123,16,52,181,79,232,4,0,17,137,9,326,114,73,249,271,88,24,26,24,23386
2005,"1,291,065","1,189,031","102,034",NA,"1,189,031"," 7,349 "," 1,181,682 ","102,034"," 19,425 "," 64,954 "," 17,655 ",0,NA,0,0,0,NA,NA,1291065,2804,9273,2926,1237532,175,38128,227,55,253,39,10,30,296,82,33,12,16,122,6,151,67,28,15,149,9,4,329,67,32103,NA,75,13,9,NA,104,45,1486,84,NA,3,0,156,2890,1545,10,18,1321,22,13,4285,50,12,8,44,4586,2048,291,42885,NA,88,23,206,29,115,NA,79,45,159,165,29,23,0,25909,67,NA,293,999,55756,31,50,3,770,153,166,164,53,322,104,1557,41,309,14,146,604,NA,16,12,237,14,125,85,5,62,NA,44,7,51,44,3,5,33,1093340,22,20,41,NA,4,278,33,53,10,25,4272,19,375,5,792,5,131,18,903,600,348,145,232,195,5,20,44,28,20,40,66,NA,122,63,13,32,4,92,138,NA,42,43,46,81,8,23,10,113,51,8,37,134,12,33,448,85,392,0,5,17,154,6,297,128,130,301,421,67,22,32,36,227
2006,"1,206,412","1,089,096","101,854","15,462","1,089,096"," 6,596 "," 1,082,500 ","101,854"," 18,759 "," 63,208 "," 19,887 ",0,"15,462","5,101","7,198","3,077",0,0,1206412,3544,10342,3025,1179600,221,9002,678,53,350,50,11,29,293,78,28,9,13,101,5,190,34,22,16,140,8,8,310,66,2957,4,69,13,26,8,124,79,1200,57,NA,5,4,190,2987,1647,13,44,804,62,15,5088,44,33,6,35,3713,1931,354,46314,NA,83,13,346,54,75,4,71,50,130,251,36,28,0,25144,64,0,243,1215,33394,22,47,NA,769,488,215,170,52,267,90,1350,33,338,40,176,519,NA,80,14,199,22,262,137,10,47,NA,48,5,104,120,NA,4,46,1057222,23,28,44,NA,NA,287,48,29,4,33,3228,112,363,7,721,8,132,26,1020,773,337,106,309,183,4,24,45,14,21,130,98,NA,176,75,11,15,3,122,108,NA,82,32,67,74,20,10,8,151,44,13,49,339,29,43,320,86,250,6,NA,36,193,35,305,110,147,255,442,64,22,41,45,678
2007,"960,772","876,803","53,562","30,407","876,803"," 6,379 "," 870,424 ","53,562"," 14,012 "," 26,050 "," 13,500 ",0,"30,407","11,128","13,639","5,165",0,0,960772,3085,7348,2466,938932,202,8671,68,28,259,49,13,23,227,60,27,7,15,62,NA,182,28,17,8,113,10,3,189,60,2902,0,71,12,18,3,79,79,767,48,0,6,6,135,1623,1893,NA,77,377,72,13,4931,42,42,12,34,2118,1771,269,19699,7,100,13,144,45,69,10,87,59,84,239,16,15,NA,23907,86,NA,156,1004,28265,21,44,3,795,536,128,138,27,226,60,804,19,318,35,160,307,NA,57,NA,117,16,195,99,8,55,21,40,7,58,80,0,3,62,854275,13,46,54,0,NA,183,44,25,NA,55,2119,115,351,7,654,3,112,21,944,500,309,70,196,194,8,9,37,9,25,67,92,NA,222,98,14,23,NA,98,83,NA,7,28,47,38,10,19,12,101,34,15,45,117,43,27,210,60,221,9,3,49,177,8,169,109,96,314,212,106,25,44,35,68
2008,"1,043,799","723,865","31,123","288,811","723,865"," 7,920 "," 715,945 ","31,123"," 7,442 "," 17,237 "," 6,423 ",21,"288,811","24,239","54,240","191,820",0,"167,505",1043799,5218,13201,5150,1003176,506,15526,1022,74,362,59,31,69,440,235,52,12,30,269,4,278,90,52,16,348,17,14,328,108,3889,8,121,31,53,12,344,153,1378,127,6,9,14,255,2296,3619,26,59,629,118,23,6676,96,29,17,72,5470,3676,321,27153,4,217,34,218,128,124,7,126,105,201,414,61,56,24,33690,163,7,508,2299,33777,60,80,8,1218,632,239,222,94,298,201,3068,68,437,78,325,545,NA,27,20,712,29,236,271,21,100,NA,93,16,91,127,NA,15,128,884043,83,82,80,NA,10,227,102,59,15,45,2801,87,680,13,654,20,326,26,1807,1340,602,234,287,470,19,41,79,69,33,87,158,4,302,158,21,45,4,201,124,NA,110,91,107,164,28,30,22,101,52,43,64,381,53,99,691,53,310,11,17,59,403,4,510,200,157,750,1342,90,45,72,83,1022
2009,"889,203","556,032","21,251","311,920","556,032"," 6,807 "," 549,225 ","21,251"," 5,324 "," 11,702 "," 4,215 ",10,"311,920","42,301","97,497","159,091",21,"126,225",889203,5652,13351,5100,848794,492,15214,600,76,331,53,24,59,507,181,65,12,40,288,4,223,105,72,26,345,11,20,351,175,3392,8,102,24,36,13,330,149,1306,116,9,12,9,284,2928,3468,35,77,582,116,25,4742,66,24,21,57,5106,3483,313,27741,7,212,32,262,101,136,17,131,157,228,422,58,63,15,34992,185,13,492,2220,32901,58,95,6,1155,371,291,291,94,345,205,3075,68,359,101,537,580,26,29,59,657,30,216,338,14,94,NA,62,10,60,140,NA,20,141,731218,88,98,142,4,9,232,148,92,4,38,2739,54,624,8,578,19,268,47,2079,1080,571,220,255,565,23,45,71,63,57,70,157,6,219,192,21,40,11,237,149,NA,62,92,135,202,28,44,19,91,61,90,81,304,44,76,729,47,317,20,11,65,374,7,486,221,198,862,1374,82,63,80,80,600
2010,"796,587","463,382","18,290","314,915","463,382"," 7,431 "," 455,951 ","18,290"," 4,219 "," 10,400 "," 3,661 ",10,"314,915","64,374","167,605","65,378",15,"19,524",796587,5762,14877,5571,754307,544,14589,937,92,321,62,22,57,431,239,76,22,30,279,5,325,82,66,24,338,12,18,307,202,3532,10,103,29,54,17,384,152,1486,118,10,12,5,285,2714,3006,24,72,548,119,34,4030,107,19,14,64,5274,3890,275,29911,14,231,22,274,99,151,28,130,121,227,414,53,76,21,39050,154,5,428,1768,32501,53,69,10,2175,486,297,280,72,311,174,3064,72,368,118,716,594,24,27,56,703,44,220,309,16,81,5,57,14,73,163,0,19,81,632034,110,129,124,NA,9,226,230,76,9,55,2587,68,599,12,612,20,283,32,1729,1079,635,205,630,564,12,30,82,57,26,148,170,NA,174,147,21,51,9,277,144,NA,91,99,284,252,18,37,22,99,55,80,82,300,40,100,624,61,326,29,19,54,392,15,533,190,210,741,1313,130,49,74,95,937
2011,"678,606","340,252","16,261","322,093","340,252"," 6,123 "," 334,129 ","16,261"," 3,610 "," 9,386 "," 3,195 ",70,"322,093","70,760","187,421","48,959",38,"3,759",678606,5209,15875,5520,637356,514,13357,775,111,258,36,28,47,421,232,75,23,37,311,3,272,77,58,35,361,18,23,387,201,3228,12,95,20,35,17,347,164,1131,105,6,10,8,248,2563,2755,26,63,503,102,31,4801,71,21,9,65,4433,3298,237,27652,4,63,35,219,87,145,13,148,101,198,435,48,61,16,41708,147,6,411,1351,31189,56,106,7,3859,327,305,285,88,254,149,2862,63,305,117,539,714,36,23,44,758,38,171,309,24,77,NA,51,21,53,112,NA,21,70,517472,106,144,129,11,9,173,180,72,11,63,2278,48,633,7,538,20,226,35,1741,1135,519,194,869,526,19,46,58,50,36,127,158,22,142,171,12,29,5,336,123,NA,92,126,316,226,19,42,19,114,58,82,64,257,43,82,596,43,224,8,11,66,393,3,518,239,135,575,1413,86,49,88,68,775
2012,"671,327","364,768","15,937","290,622","364,768"," 4,210 "," 360,558 ","15,937"," 2,434 "," 10,552 "," 2,903 ",48,"290,622","64,664","170,258","42,587",31,"2,788",671327,4755,12424,5548,634713,466,12507,914,98,277,42,22,56,324,217,55,12,29,275,NA,262,80,51,17,316,11,21,290,198,2433,12,110,29,54,27,268,130,1172,110,6,9,7,193,2350,2201,28,75,518,112,31,4121,68,20,8,41,4506,4374,190,38976,7,37,30,220,79,131,13,119,58,186,340,34,35,8,57486,142,3,360,1492,50771,85,111,3,1566,219,301,244,89,192,153,2655,59,281,108,494,627,26,22,40,754,35,128,314,23,84,0,43,14,49,100,NA,28,55,468766,106,93,95,18,4,149,248,64,NA,35,2532,50,543,8,470,26,197,33,1588,927,494,215,1220,414,13,49,57,41,32,198,164,13,86,162,7,44,7,316,95,3,115,139,223,253,20,33,14,57,46,51,73,276,46,86,498,33,265,10,19,44,394,10,448,144,129,547,1313,69,50,63,73,914
2013,"662,483","420,789","11,996","229,698","420,789"," 3,230 "," 417,559 ","11,996"," 1,455 "," 8,373 "," 2,118 ",50,"229,698","50,609","135,132","33,016",12,"1,484",662483,3772,10771,4447,629886,451,12459,697,70,423,27,16,40,235,141,69,14,36,288,NA,366,45,42,25,293,9,18,226,179,1702,8,52,19,48,21,204,102,822,66,5,14,12,128,1918,1987,28,39,409,80,29,2809,56,15,7,41,3893,5680,192,51226,0,40,18,144,67,106,10,100,65,153,272,29,44,22,73208,112,NA,292,1992,64157,74,88,NA,1791,126,257,169,70,213,138,2147,47,198,71,341,470,30,26,89,561,36,103,231,16,65,0,30,10,31,83,8,35,57,424978,113,93,66,6,NA,135,448,57,5,30,2712,39,492,NA,334,21,184,30,1682,721,328,131,865,320,21,32,45,43,37,264,132,35,64,145,16,23,0,214,79,42,89,98,134,168,15,27,11,72,55,33,72,246,20,49,419,24,216,4,13,49,290,11,388,116,116,366,875,68,31,48,55,697
