Year,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
Total ,1264232,1291065,1206412,960772,1043799,889203,796587,678606,671327,662483
Africa,2092,2804,3544,3085,5218,5652,5762,5209,4755,3772
Asia,7229,9273,10342,7348,13201,13351,14877,15875,12424,10771
Europe,2826,2926,3025,2466,5150,5100,5571,5520,5548,4447
North America,1214322,1237532,1179600,938932,1003176,848794,754307,637356,634713,629886
Oceania,284,175,221,202,506,492,544,514,466,451
South America,14093,38128,9002,8671,15526,15214,14589,13357,12507,12459
Unknown,23386,227,678,68,1022,600,937,775,914,697
Afghanistan,57,55,53,28,74,76,92,111,98,70
Albania,163,253,350,259,362,331,321,258,277,423
Algeria,49,39,50,49,59,53,62,36,42,27
Angola,10,10,11,13,31,24,22,28,22,16
Antigua-Barbuda,14,30,29,23,69,59,57,47,56,40
Argentina,325,296,293,227,440,507,431,421,324,235
Armenia,55,82,78,60,235,181,239,232,217,141
Australia,54,33,28,27,52,65,76,75,55,69
Austria,12,12,9,7,12,12,22,23,12,14
Azerbaijan,7,16,13,15,30,40,30,37,29,36
Bahamas,68,122,101,62,269,288,279,311,275,288
Bahrain,11,6,5,NA,4,4,5,3,NA,NA
Bangladesh,138,151,190,182,278,223,325,272,262,366
Barbados,31,67,34,28,90,105,82,77,80,45
Belarus,25,28,22,17,52,72,66,58,51,42
Belgium,9,15,16,8,16,26,24,35,17,25
Belize,151,149,140,113,348,345,338,361,316,293
Benin,9,9,8,10,17,11,12,18,11,9
Bermuda,4,4,8,3,14,20,18,23,21,18
Bolivia,221,329,310,189,328,351,307,387,290,226
Bosnia-Herzegovina,43,67,66,60,108,175,202,201,198,179
Brazil,10082,32103,2957,2902,3889,3392,3532,3228,2433,1702
British Virgin Islands,NA,NA,4,0,8,8,10,12,12,8
Bulgaria,82,75,69,71,121,102,103,95,110,52
Burkina Faso,8,13,13,12,31,24,29,20,29,19
Burma,9,9,26,18,53,36,54,35,54,48
Burundi,NA,NA,8,3,12,13,17,17,27,21
Cambodia,102,104,124,79,344,330,384,347,268,204
Cameroon,34,45,79,79,153,149,152,164,130,102
Canada,1806,1486,1200,767,1378,1306,1486,1131,1172,822
Cape Verde,42,84,57,48,127,116,118,105,110,66
Cayman Islands,3,NA,NA,0,6,9,10,6,6,5
Central African Republic,NA,3,5,6,9,12,12,10,9,14
Chad,NA,0,4,6,14,9,5,8,7,12
Chile,116,156,190,135,255,284,285,248,193,128
"China, People's Republic",1560,2890,2987,1623,2296,2928,2714,2563,2350,1918
Colombia,919,1545,1647,1893,3619,3468,3006,2755,2201,1987
"Congo, Democratic Republic",3,10,13,NA,26,35,24,26,28,28
"Congo, Republic",21,18,44,77,59,77,72,63,75,39
Costa Rica,571,1321,804,377,629,582,548,503,518,409
Cote d'Ivoire,27,22,62,72,118,116,119,102,112,80
Croatia,12,13,15,13,23,25,34,31,31,29
Cuba,1831,4285,5088,4931,6676,4742,4030,4801,4121,2809
Czech Republic,150,50,44,42,96,66,107,71,68,56
"Czechoslovakia, former",42,12,33,42,29,24,19,21,20,15
Denmark,6,8,6,12,17,21,14,9,8,7
Dominica,20,44,35,34,72,57,64,65,41,41
Dominican Republic,3635,4586,3713,2118,5470,5106,5274,4433,4506,3893
Ecuador,1173,2048,1931,1771,3676,3483,3890,3298,4374,5680
Egypt,218,291,354,269,321,313,275,237,190,192
El Salvador,19180,42885,46314,19699,27153,27741,29911,27652,38976,51226
Equatorial Guinea,NA,NA,NA,7,4,7,14,4,7,0
Eritrea,26,88,83,100,217,212,231,63,37,40
Estonia,18,23,13,13,34,32,22,35,30,18
Ethiopia,79,206,346,144,218,262,274,219,220,144
Fiji,23,29,54,45,128,101,99,87,79,67
France,109,115,75,69,124,136,151,145,131,106
Gabon,NA,NA,4,10,7,17,28,13,13,10
Gambia,64,79,71,87,126,131,130,148,119,100
Georgia,42,45,50,59,105,157,121,101,58,65
Germany,104,159,130,84,201,228,227,198,186,153
Ghana,135,165,251,239,414,422,414,435,340,272
Greece,28,29,36,16,61,58,53,48,34,29
Grenada,21,23,28,15,56,63,76,61,35,44
Guam,0,0,0,NA,24,15,21,16,8,22
Guatemala,14288,25909,25144,23907,33690,34992,39050,41708,57486,73208
Guinea,36,67,64,86,163,185,154,147,142,112
Guinea-Bissau,NA,NA,0,NA,7,13,5,6,3,NA
Guyana,135,293,243,156,508,492,428,411,360,292
Haiti,367,999,1215,1004,2299,2220,1768,1351,1492,1992
Honduras,26555,55756,33394,28265,33777,32901,32501,31189,50771,64157
Hong Kong,15,31,22,21,60,58,53,56,85,74
Hungary,76,50,47,44,80,95,69,106,111,88
Iceland,NA,3,NA,3,8,6,10,7,3,NA
India,895,770,769,795,1218,1155,2175,3859,1566,1791
Indonesia,170,153,488,536,632,371,486,327,219,126
Iran,138,166,215,128,239,291,297,305,301,257
Iraq,135,164,170,138,222,291,280,285,244,169
Ireland,41,53,52,27,94,94,72,88,89,70
Israel,290,322,267,226,298,345,311,254,192,213
Italy,81,104,90,60,201,205,174,149,153,138
Jamaica,976,1557,1350,804,3068,3075,3064,2862,2655,2147
Japan,101,41,33,19,68,68,72,63,59,47
Jordan,258,309,338,318,437,359,368,305,281,198
Kazakhstan,14,14,40,35,78,101,118,117,108,71
Kenya,138,146,176,160,325,537,716,539,494,341
"Korea, South",503,604,519,307,545,580,594,714,627,470
Kosovo,NA,NA,NA,NA,NA,26,24,36,26,30
Kuwait,24,16,80,57,27,29,27,23,22,26
Kyrgyzstan,NA,12,14,NA,20,59,56,44,40,89
Laos,148,237,199,117,712,657,703,758,754,561
Latvia,25,14,22,16,29,30,44,38,35,36
Lebanon,157,125,262,195,236,216,220,171,128,103
Liberia,59,85,137,99,271,338,309,309,314,231
Libya,7,5,10,8,21,14,16,24,23,16
Lithuania,64,62,47,55,100,94,81,77,84,65
Macau,0,NA,NA,21,NA,NA,5,NA,0,0
Macedonia,35,44,48,40,93,62,57,51,43,30
