Year,Removals,Returns,im_rate,im_count
1892,2801,0,0,0
1893,1630,0,0,0
1894,1806,0,0,0
1895,2596,0,0,0
1896,3037,0,0,0
1897,1880,0,0,0
1898,3229,0,0,0
1899,4052,0,0,0
1900,4602,0,0,0
1901,3879,0,0,0
1902,5439,0,0,0
1903,9316,0,0,0
1904,8773,0,0,0
1905,12724,0,0,0
1906,13108,0,0,0
1907,14059,0,0,0
1908,12971,0,0,0
1909,12535,0,0,0
1910,26965,0,0,0
1911,25137,0,0,0
1912,18513,0,0,0
1913,23399,0,0,0
1914,37651,0,0,0
1915,26675,0,0,0
1916,21648,0,0,0
1917,17881,0,0,0
1918,8866,0,0,0
1919,11694,0,0,0
1920,14557,0,0,0
1921,18296,0,0,0
1922,18076,0,0,0
1923,24280,0,0,0
1924,36693,0,0,0
1925,34885,0,0,0
1926,31454,0,0,0
1927,31417,15012,0,0
1928,30464,19946,0,0
1929,31035,25888,0,0
1930,24864,11387,0,0
1931,27886,11719,0,0
1932,26490,10775,0,0
1933,25392,10347,0,0
1934,14263,8010,0,0
1935,13877,7978,0,0
1936,16195,8251,0,0
1937,16905,8788,0,0
1938,17341,9278,0,0
1939,14700,9590,0,0
1940,12254,8594,0,0
1941,7336,6531,0,0
1942,5542,6904,0,0
1943,5702,11947,0,0
1944,8821,32270,0,0
1945,13611,69490,0,0
1946,17317,101945,0,0
1947,23434,195880,0,0
1948,25276,197184,0,0
1949,23874,276297,0,0
1950,10199,572477,0,0
1951,17328,673169,0,0
1952,23125,703778,0,0
1953,23482,885391,0,0
1954,30264,1074277,0,0
1955,17695,232769,0,0
1956,9006,80891,0,0
1957,5989,63379,0,0
1958,7875,60600,0,0
1959,8468,56610,0,0
1960,7240,52796,0,0
1961,8181,52383,0,0
1962,8025,54164,0,0
1963,7763,69392,0,0
1964,9167,73042,0,0
1965,10572,95263,0,0
1966,9680,123683,0,0
1967,9728,142343,0,0
1968,9590,179952,0,0
1969,11030,240958,0,0
1970,17469,303348,0,0
1971,18294,370074,0,0
1972,16883,450927,0,0
1973,17346,568005,0,0
1974,19413,718740,0,0
1975,24432,655814,0,0
1976,38471,955374,0,0
1977,31263,867015,0,0
1978,29277,975515,138,307276
1979,26825,966137,140,314457
1980,18013,719211,146,329821
1981,17379,823875,162,369930
1982,15216,812572,180,413806
1983,19211,931600,188,436855
1984,18696,909833,197,462002
1985,23105,1041296,213,502507
1986,24592,1586320,229,544972
1987,24336,1091203,243,585084
1988,25829,911790,259,627600
1989,34427,830890,291,712364
1990,30039,1022533,313,773919
1991,33189,1061105,330,825559
1992,43671,1105829,349,882500
1993,42542,1243410,379,969301
1994,45674,1029107,409,1054702
1995,50924,1313764,433,1125874
1996,69680,1573428,450,1181919
1997,114432,1440684,468,1240659
1998,174813,1570127,489,1307154
1999,183114,1574863,505,1363686
2000,188467,1675876,499,1394231
2001,189026,1349371,498,1404032
2002,165168,1012116,506,1440144
2003,211098,945294,511,1468601
2004,240665,1166576,517,1497100
2005,246431,1096920,522,1525910
2006,280974,1043381,532,1568674
2007,319382,891390,536,1596835
2008,359795,811263,536,1608282
2009,391597,582624,534,1615487
2010,382265,474233,529,1613803
2011,387134,322124,521,1598968
2012,418397,230386,508,1570397
2013,438421,178371,507,1576950
2014,414481,162814,498,1561525
